,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2.0,0,0,3.9,3.9,0.09,-2.9,-2.9
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,18.7,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0.0,0,0,2.4,2.4,0.07,-1.4,-1.4
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2.0,0,0,1.4,1.4,0.06,0.6,0.6
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,1,13,4,30.8,0.4,0.12,0.08,0.25,19.1,0.0,0,0,0.9,0.9,0.07,0.1,0.1
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,0,13,2,15.4,0.5,0.08,0.0,0.0,24.0,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,0,3,2,66.7,0.46,0.3,0.0,0.0,14.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
9,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0.0,1,2,3.6,2.0,0.08,-1.6,-1.0
10,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0.0,0,0,0.8,0.8,0.13,0.2,0.2
11,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,13.6,0.0,0,0,1.7,1.7,0.34,-1.7,-1.7
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0.0,0,0,11.5,11.5,0.14,-1.5,-1.5
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0.0,0,0,10.8,10.8,0.17,-2.8,-2.8
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,0,18,2,11.1,0.67,0.07,0.0,0.0,15.9,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,0,1,0,0.0,2.5,0.0,0.0,,26.1,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,3,21,5,23.8,0.99,0.24,0.14,0.6,25.6,1.0,0,0,1.2,1.2,0.06,1.8,1.8
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0.0,0,0,6.6,6.6,0.14,-1.6,-1.6
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,0,4,0,0.0,0.17,0.0,0.0,,27.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,1,21,11,52.4,2.93,1.54,0.05,0.09,14.0,0.0,0,0,3.4,3.4,0.16,-2.4,-2.4
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1,16,4,25.0,0.69,0.17,0.06,0.25,21.2,1.0,0,0,0.7,0.7,0.04,0.3,0.3
23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,0,1,0,0.0,0.84,0.0,0.0,,25.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,6,37,14,37.8,2.4,0.91,0.16,0.43,17.4,0.0,0,1,5.0,4.3,0.12,1.0,1.7
25,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,5,37,17,45.9,2.32,1.07,0.14,0.29,14.0,1.0,0,0,5.0,5.0,0.14,0.0,0.0
26,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,0,2,2,100.0,1.25,1.25,0.0,0.0,18.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,1,15,2,13.3,0.88,0.12,0.07,0.5,17.1,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5
28,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,0,21,2,9.5,2.31,0.22,0.0,0.0,18.7,0.0,0,0,1.9,1.9,0.09,-1.9,-1.9
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,0,22,3,13.6,0.83,0.11,0.0,0.0,15.8,0.0,0,0,1.7,1.7,0.08,-1.7,-1.7
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
31,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,0,9,3,33.3,0.74,0.25,0.0,0.0,15.6,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8
