Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23.0,35.5,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,26.0,34.1,215.0,6.3,152.0,43.0,8.0,6.0,5.0,1.0,34.0,1.0,30.0,2.0,1.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Nicolás Otamendi,ar ARG,DF,29.0,33.0,36.0,1.09,32.0,0.0,0.0,4.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Fernandinho,br BRA,MF,32.0,32.0,74.0,2.31,63.0,0.0,2.0,3.0,3.0,3.0,13.0,0.41,13.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Kyle Walker,eng ENG,DF,27.0,30.9,58.0,1.87,53.0,2.0,1.0,0.0,2.0,0.0,7.0,0.23,7.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Raheem Sterling,eng ENG,FW,22.0,28.7,142.0,4.94,95.0,1.0,21.0,9.0,16.0,0.0,27.0,0.94,19.0,0.0,2.0,0.0,6.0,0.0,Matches
2017-2018,EPL,Manchester City,David Silva,es ESP,MF,31.0,27.0,141.0,5.22,123.0,6.0,2.0,3.0,7.0,0.0,20.0,0.74,19.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Leroy Sané,de GER,FW,21.0,26.9,124.0,4.61,87.0,8.0,18.0,4.0,6.0,1.0,28.0,1.04,18.0,3.0,6.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Sergio Agüero,ar ARG,FW,29.0,21.8,80.0,3.67,57.0,0.0,14.0,5.0,3.0,1.0,12.0,0.55,8.0,0.0,3.0,0.0,0.0,1.0,Matches
2017-2018,EPL,Manchester City,Fabian Delph,eng ENG,DF,27.0,19.3,40.0,2.07,36.0,1.0,2.0,0.0,1.0,0.0,6.0,0.31,5.0,0.0,1.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Gabriel Jesus,br BRA,FW,20.0,18.5,61.0,3.29,41.0,1.0,4.0,11.0,2.0,2.0,14.0,0.76,6.0,1.0,2.0,3.0,2.0,0.0,Matches
2017-2018,EPL,Manchester City,Vincent Kompany,be BEL,DF,31.0,15.5,13.0,0.84,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,John Stones,eng ENG,DF,23.0,14.5,7.0,0.48,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,Matches
2017-2018,EPL,Manchester City,Bernardo Silva,pt POR,"FW,MF",22.0,17.0,61.0,3.58,55.0,3.0,1.0,0.0,2.0,0.0,5.0,0.29,4.0,0.0,0.0,0.0,1.0,0.0,Matches
2017-2018,EPL,Manchester City,İlkay Gündoğan,de GER,MF,26.0,16.9,64.0,3.8,55.0,4.0,0.0,2.0,1.0,2.0,9.0,0.53,7.0,1.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Danilo,br BRA,DF,26.0,15.0,24.0,1.6,19.0,0.0,0.0,1.0,1.0,3.0,2.0,0.13,1.0,0.0,0.0,0.0,0.0,1.0,Matches
2017-2018,EPL,Manchester City,Aymeric Laporte,es ESP,DF,23.0,9.0,12.0,1.34,10.0,1.0,0.0,1.0,0.0,0.0,2.0,0.22,1.0,1.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Oleksandr Zinchenko,ua UKR,DF,20.0,5.9,15.0,2.54,13.0,2.0,0.0,0.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Eliaquim Mangala,fr FRA,DF,26.0,5.4,2.0,0.37,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Benjamin Mendy,fr FRA,"DF,FW",23.0,4.0,14.0,3.47,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.74,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Claudio Bravo,cl CHI,GK,34.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Yaya Touré,ci CIV,MF,34.0,2.6,14.0,5.34,13.0,0.0,1.0,0.0,0.0,0.0,3.0,1.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Brahim Díaz,es ESP,"FW,DF",17.0,0.6,2.0,3.27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Phil Foden,eng ENG,"MF,FW",17.0,0.5,7.0,12.86,4.0,0.0,2.0,0.0,1.0,0.0,3.0,5.51,2.0,0.0,1.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Lukas Nmecha,de GER,FW,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester City,Squad Total,,,26.4,38.0,1209.0,31.82,943.0,73.0,76.0,52.0,52.0,13.0,193.0,5.08,150.0,8.0,16.0,7.0,10.0,2.0,
2017-2018,EPL,Manchester City,Opponent Total,,,26.9,38.0,406.0,10.68,242.0,48.0,44.0,22.0,36.0,14.0,41.0,1.08,30.0,1.0,6.0,2.0,2.0,0.0,
2017-2018,EPL,Manchester Utd,David de Gea,es ESP,GK,26.0,37.0,6.0,0.16,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Nemanja Matić,rs SRB,MF,28.0,34.6,68.0,1.96,61.0,1.0,4.0,1.0,1.0,0.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Romelu Lukaku,be BEL,FW,24.0,31.9,80.0,2.51,61.0,0.0,4.0,14.0,1.0,0.0,18.0,0.57,13.0,0.0,2.0,3.0,0.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Antonio Valencia,ec ECU,DF,31.0,30.4,59.0,1.94,49.0,1.0,4.0,1.0,4.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Chris Smalling,eng ENG,DF,27.0,28.2,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Ashley Young,eng ENG,DF,32.0,27.1,63.0,2.32,44.0,9.0,4.0,2.0,3.0,1.0,8.0,0.29,6.0,0.0,0.0,1.0,1.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Paul Pogba,fr FRA,MF,24.0,23.9,103.0,4.32,81.0,1.0,9.0,6.0,4.0,2.0,20.0,0.84,12.0,0.0,3.0,4.0,1.0,0.0,Matches
2017-2018,EPL,Manchester Utd,Phil Jones,eng ENG,DF,25.0,21.9,13.0,0.59,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
