,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91649,2022-2023,EPL,Arsenal,Gabriel Dos Santos,br BRA,DF,25.0,27.0,2430.0,27.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,12.0,111.0,11.0,0.11,0.0,0.11,0.11,0.11,3.5,3.5,0.2,3.6,0.13,0.01,0.14,0.13,0.14
91650,2022-2023,EPL,Arsenal,Aaron Ramsdale,eng ENG,GK,24.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91651,2022-2023,EPL,Arsenal,William Saliba,fr FRA,DF,21.0,27.0,2415.0,26.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,12.0,97.0,2.0,0.07,0.04,0.11,0.07,0.11,0.9,0.9,1.1,2.0,0.03,0.04,0.08,0.03,0.08
91652,2022-2023,EPL,Arsenal,Bukayo Saka,eng ENG,FW,21.0,27.0,2313.0,25.7,10.0,9.0,19.0,8.0,2.0,2.0,5.0,0.0,122.0,74.0,375.0,0.39,0.35,0.74,0.31,0.66,8.7,7.3,6.1,13.4,0.35,0.24,0.59,0.29,0.54
91653,2022-2023,EPL,Arsenal,Martin Ødegaard,no NOR,MF,24.0,26.0,2216.0,24.6,10.0,6.0,16.0,10.0,0.0,0.0,4.0,0.0,62.0,189.0,140.0,0.41,0.24,0.65,0.41,0.65,7.0,7.0,6.3,13.4,0.3,0.27,0.57,0.3,0.57
91654,2022-2023,EPL,Arsenal,Granit Xhaka,ch SUI,MF,30.0,26.0,2204.0,24.5,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,30.0,153.0,125.0,0.12,0.2,0.33,0.12,0.33,2.2,2.2,3.9,6.2,0.1,0.17,0.26,0.1,0.26
91655,2022-2023,EPL,Arsenal,Martinelli,br BRA,FW,21.0,26.0,2170.0,24.1,12.0,2.0,14.0,12.0,0.0,0.0,3.0,0.0,97.0,79.0,270.0,0.5,0.08,0.58,0.5,0.58,6.7,6.7,5.4,12.1,0.29,0.23,0.52,0.29,0.52
91656,2022-2023,EPL,Arsenal,Ben White,eng ENG,DF,25.0,25.0,2073.0,23.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,50.0,181.0,91.0,0.04,0.09,0.13,0.04,0.13,0.4,0.4,1.7,2.2,0.02,0.08,0.1,0.02,0.1
91657,2022-2023,EPL,Arsenal,Thomas Partey,gh GHA,MF,29.0,20.0,1771.0,19.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,21.0,160.0,20.0,0.15,0.0,0.15,0.15,0.15,2.2,2.2,1.6,3.8,0.12,0.08,0.2,0.12,0.2
91658,2022-2023,EPL,Arsenal,Oleksandr Zinchenko,ua UKR,DF,26.0,19.0,1590.0,17.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,59.0,174.0,53.0,0.06,0.11,0.17,0.06,0.17,1.2,1.2,1.3,2.5,0.07,0.08,0.15,0.07,0.15
91659,2022-2023,EPL,Arsenal,Gabriel Jesus,br BRA,FW,25.0,14.0,1233.0,13.7,5.0,5.0,10.0,5.0,0.0,0.0,4.0,0.0,30.0,38.0,122.0,0.36,0.36,0.73,0.36,0.73,7.7,7.7,2.8,10.6,0.57,0.21,0.78,0.57,0.78
91660,2022-2023,EPL,Arsenal,Eddie Nketiah,eng ENG,FW,23.0,9.0,1001.0,11.1,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,30.0,15.0,73.0,0.36,0.09,0.45,0.36,0.45,7.7,7.7,0.9,8.6,0.69,0.08,0.78,0.69,0.78
91661,2022-2023,EPL,Arsenal,Takehiro Tomiyasu,jp JPN,DF,24.0,6.0,663.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,51.0,28.0,0.0,0.14,0.14,0.0,0.14,0.2,0.2,0.6,0.8,0.03,0.08,0.11,0.03,0.11
91662,2022-2023,EPL,Arsenal,Leandro Trossard,be BEL,FW,28.0,5.0,389.0,4.3,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,21.0,21.0,57.0,0.23,1.16,1.39,0.23,1.39,1.2,1.2,0.7,1.8,0.33,0.19,0.52,0.33,0.52
91663,2022-2023,EPL,Arsenal,Kieran Tierney,sct SCO,DF,25.0,4.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.05,0.03,0.08,0.05,0.08
91664,2022-2023,EPL,Arsenal,Jorginho,it ITA,MF,31.0,4.0,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06
91665,2022-2023,EPL,Arsenal,Fabio Vieira,pt POR,MF,22.0,2.0,410.0,4.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,26.0,30.0,0.22,0.44,0.66,0.22,0.66,0.7,0.7,2.2,2.9,0.16,0.5,0.66,0.16,0.66
91666,2022-2023,EPL,Arsenal,Albert Sambi Lokonga,be BEL,MF,23.0,2.0,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
91667,2022-2023,EPL,Arsenal,Mohamed Elneny,eg EGY,MF,30.0,1.0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91668,2022-2023,EPL,Arsenal,Emile Smith Rowe,eng ENG,"FW,MF",22.0,0.0,108.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,0.0,0.83,0.83,0.0,0.83,0.3,0.3,0.9,1.2,0.22,0.77,0.98,0.22,0.98
91669,2022-2023,EPL,Arsenal,Reiss Nelson,eng ENG,FW,23.0,0.0,106.0,1.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,17.0,2.55,1.7,4.25,2.55,4.25,0.7,0.7,0.3,1.0,0.72,0.31,1.03,0.72,1.03
91670,2022-2023,EPL,Arsenal,Cédric Soares,pt POR,DF,31.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91671,2022-2023,EPL,Arsenal,Rob Holding,eng ENG,DF,27.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
